,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alone,predicted
426,2,female,28.0,1,0,26.0,S,Second,woman,False,Unknown,Southampton,False,1
110,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,True,0
78,2,male,0.83,0,2,29.0,S,Second,child,False,Unknown,Southampton,False,1
532,3,male,17.0,1,1,7.2292,C,Third,man,True,Unknown,Cherbourg,False,0
618,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,False,1
83,1,male,28.0,0,0,47.1,S,First,man,True,Unknown,Southampton,True,0
745,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,False,0
626,2,male,57.0,0,0,12.35,Q,Second,man,True,Unknown,Queenstown,True,0
412,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,False,1
267,3,male,25.0,1,0,7.775,S,Third,man,True,Unknown,Southampton,False,0
307,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,False,1
579,3,male,32.0,0,0,7.925,S,Third,man,True,Unknown,Southampton,True,0
5,3,male,23.79929292929293,0,0,8.4583,Q,Third,man,True,Unknown,Queenstown,True,0
54,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,False,0
251,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,False,1
457,1,female,23.79929292929293,1,0,51.8625,S,First,woman,False,D,Southampton,False,1
320,3,male,22.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,True,0
363,3,male,35.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,True,0
98,2,female,34.0,0,1,23.0,S,Second,woman,False,Unknown,Southampton,False,1
199,2,female,24.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,True,1
571,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,False,1
852,3,female,9.0,1,1,15.2458,C,Third,child,False,Unknown,Cherbourg,False,1
433,3,male,17.0,0,0,7.125,S,Third,man,True,Unknown,Southampton,True,0
807,3,female,18.0,0,0,7.775,S,Third,woman,False,Unknown,Southampton,True,1
25,3,female,38.0,1,5,31.3875,S,Third,woman,False,Unknown,Southampton,False,0
85,3,female,33.0,3,0,15.85,S,Third,woman,False,Unknown,Southampton,False,0
10,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,False,1
